//==========================================================================================================
// IMPORTANT STUFF
//==========================================================================================================

// Various character names
// 0F64294 Ninten
0F642D4 Ana
0F64314 Lloyd
0F64354 Teddy
0F64394 Pippi
0F643D4 EVE
0F64414 FlyngMn


//==========================================================================================================
// OVERWORLD MENU STUFF
//==========================================================================================================

// Main menu - if you want to resize this, you'll have to manually hex edit the command menu .bin file
0FE4006 Azione
0FE4014 Parla
0FE4021 Esamina
0FE402E PSI
0FE403B Oggetti

// Action menu
0FE4B13 Usa
0FE4B1F Mangia
0FE4B2B Dai
0FE4B37 Butta
0FE4B43 Info

// Displayed when choosing a location to teleport to, [DB] is a window piece to make the text line up better
0F7E200 [DB]Dove?[END]

// Displayed when taking an item out of storage from your sister
0FE7CE0 Deposito[END]

// Displayed when using a PSI on someone or when choosing someone from the bottom-left name list
0FE756E Chi?

// Stats/equipment menu
0FE482A Stato
0FE483C PSI
0FE48E5 Equip.
0FE497B Melodie
0FE485F Liv.[01]
0FE4878 PS
0FE4890 PP
0FE48B9 Attacco
0FE48D4 Difesa
0FE48F5 Combatt.
0FE490E Velocità
0FE4927 Saggezza
0FE4940 Forza
0FE4959 QI
0FE498D Esp.

// Used when displaying yes/no questions in main script
0FE7102 Sì
0FE710C No
0FE7142 Sì
0FE714C No

// horizontal positions for cursor locations when given options in main text (note: numbers need to be -1 their actual X position)
// note: these numbers need to be -1 their actual X coordinates
// note: these numbers are shared for ALL options, not just yes/no. Other examples include "Continue/Save", "Medicine/Sleep", and a few others
0F0B33A [02]
0F0B33E [0C]

// Used when 1 or more party members are in your team
0F7E600 Il gruppo di [END]
0F0C3A0 [00][E6][F7][08]


//==========================================================================================================
// BATTLE STUFF
//==========================================================================================================

// This is displayed at the top of the battle menus and in the mini status windows outside
0FE7403 Nome
0FE740C PS
0FE7410 PP
0FE7414 Lv
0FE741B Esp

// This is the main battle menu
0F2764A Attacco
0F27653 Auto
0F27661 PSI
0F2766A Difesa
0F27678 Oggetti
0F27681 Fuga
0F2768F Verifica
0F27698 Opzioni

// This is the menu for the final battle
0F276BC Attacco
0F276C5 Auto
0F276D3 PSI
0F276DC Difesa
0F276EA Oggetti
0F276F3 Canta [FF]
0F27701 Verifica
0F2770A Opzioni

// If you try to use a weird item in battle (change the address to move the text left or right)
0F2780E Non si usa così.

// If you try to equip an item during battle
0F2783B Non è il momento.

// If a character tries to use an item they can't use in battle (like Ninten using a Bomb)
0FE78C2 [03][20] non può usare

// If you use the Setup option in battle
F278A0 Vel. testo
F278B4 (Lento)[01][01](Veloce)


//==========================================================================================================
// FILE MENU STUFF
//==========================================================================================================
